,date,max_temp,city
0,20180523,23.3,Berlin
1,20180523,22.5,Dortmund
2,20180523,23.7,Duesseldorf
3,20180523,23.2,Essen
4,20180523,25.1,Frankfurt am Main
5,20180523,23.1,Hamburg
6,20180523,23.8,Koeln
7,20180523,23.5,Leipzig
8,20180523,23.5,Muenchen
9,20180523,24.4,Stuttgart
10,20180530,30.7,Berlin
11,20180530,27.8,Dortmund
12,20180530,28.1,Duesseldorf
13,20180530,28.3,Essen
14,20180530,28.4,Frankfurt am Main
15,20180530,29.4,Hamburg
16,20180530,28.5,Koeln
17,20180530,26.8,Leipzig
18,20180530,25.4,Muenchen
19,20180530,28.7,Stuttgart
20,20180607,25.6,Berlin
21,20180607,28.6,Dortmund
22,20180607,29.3,Duesseldorf
23,20180607,29.3,Essen
24,20180607,28.5,Frankfurt am Main
25,20180607,27.5,Hamburg
26,20180607,28.6,Koeln
27,20180607,26.6,Leipzig
28,20180607,24.6,Muenchen
29,20180607,26.3,Stuttgart
30,20180608,28.5,Berlin
31,20180608,24.8,Dortmund
32,20180608,25.3,Duesseldorf
33,20180608,25.3,Essen
34,20180608,26.7,Frankfurt am Main
35,20180608,28.9,Hamburg
36,20180608,25.6,Koeln
37,20180608,28.2,Leipzig
38,20180608,24.3,Muenchen
39,20180608,26.8,Stuttgart
40,20180609,29.9,Berlin
41,20180609,27.4,Dortmund
42,20180609,26.8,Duesseldorf
43,20180609,27.0,Essen
44,20180609,29.5,Frankfurt am Main
45,20180609,28.9,Hamburg
46,20180609,27.4,Koeln
47,20180609,29.0,Leipzig
48,20180609,26.1,Muenchen
49,20180609,29.1,Stuttgart
50,20180610,26.0,Berlin
51,20180610,25.4,Dortmund
52,20180610,26.2,Duesseldorf
53,20180610,26.0,Essen
54,20180610,28.5,Frankfurt am Main
55,20180610,27.3,Hamburg
56,20180610,26.8,Koeln
57,20180610,29.0,Leipzig
58,20180610,27.7,Muenchen
59,20180610,30.1,Stuttgart
60,20180611,24.7,Berlin
61,20180611,22.0,Dortmund
62,20180611,22.8,Duesseldorf
63,20180611,22.5,Essen
64,20180611,25.8,Frankfurt am Main
65,20180611,21.5,Hamburg
66,20180611,24.0,Koeln
67,20180611,24.6,Leipzig
68,20180611,28.9,Muenchen
69,20180611,29.0,Stuttgart
70,20180612,22.4,Berlin
71,20180612,18.6,Dortmund
72,20180612,19.2,Duesseldorf
73,20180612,19.0,Essen
74,20180612,19.3,Frankfurt am Main
75,20180612,19.3,Hamburg
76,20180612,17.6,Koeln
77,20180612,21.8,Leipzig
78,20180612,23.0,Muenchen
79,20180612,22.7,Stuttgart
80,20180613,20.2,Berlin
81,20180613,17.3,Dortmund
82,20180613,18.6,Duesseldorf
83,20180613,18.6,Essen
84,20180613,19.7,Frankfurt am Main
85,20180613,18.8,Hamburg
86,20180613,18.5,Koeln
87,20180613,19.0,Leipzig
88,20180613,15.9,Muenchen
89,20180613,20.1,Stuttgart
90,20180614,23.4,Berlin
91,20180614,21.6,Dortmund
92,20180614,21.8,Duesseldorf
93,20180614,21.7,Essen
94,20180614,23.7,Frankfurt am Main
95,20180614,22.2,Hamburg
96,20180614,22.9,Koeln
97,20180614,22.1,Leipzig
98,20180614,21.5,Muenchen
99,20180614,24.4,Stuttgart
100,20180615,21.8,Berlin
101,20180615,21.7,Dortmund
102,20180615,22.9,Duesseldorf
103,20180615,22.3,Essen
104,20180615,24.2,Frankfurt am Main
105,20180615,22.4,Hamburg
106,20180615,22.9,Koeln
107,20180615,22.3,Leipzig
108,20180615,22.7,Muenchen
109,20180615,24.0,Stuttgart
110,20180616,25.6,Berlin
111,20180616,22.7,Dortmund
112,20180616,22.7,Duesseldorf
113,20180616,22.7,Essen
114,20180616,25.2,Frankfurt am Main
115,20180616,24.0,Hamburg
116,20180616,22.8,Koeln
117,20180616,26.4,Leipzig
118,20180616,24.8,Muenchen
119,20180616,27.8,Stuttgart
120,20180617,25.0,Berlin
121,20180617,20.1,Dortmund
122,20180617,19.5,Duesseldorf
123,20180617,19.9,Essen
124,20180617,23.0,Frankfurt am Main
125,20180617,21.0,Hamburg
126,20180617,19.6,Koeln
127,20180617,24.2,Leipzig
128,20180617,25.0,Muenchen
129,20180617,24.6,Stuttgart
130,20180618,23.7,Berlin
131,20180618,21.4,Dortmund
132,20180618,22.0,Duesseldorf
133,20180618,21.6,Essen
134,20180618,23.1,Frankfurt am Main
135,20180618,20.3,Hamburg
136,20180618,22.5,Koeln
137,20180618,23.1,Leipzig
138,20180618,22.6,Muenchen
139,20180618,24.1,Stuttgart
140,20180619,25.7,Berlin
141,20180619,22.2,Dortmund
142,20180619,22.1,Duesseldorf
143,20180619,22.0,Essen
144,20180619,25.4,Frankfurt am Main
145,20180619,22.1,Hamburg
146,20180619,22.9,Koeln
147,20180619,25.2,Leipzig
148,20180619,25.2,Muenchen
149,20180619,26.4,Stuttgart
150,20180620,28.0,Berlin
151,20180620,26.8,Dortmund
152,20180620,26.8,Duesseldorf
153,20180620,26.9,Essen
154,20180620,29.0,Frankfurt am Main
155,20180620,24.7,Hamburg
156,20180620,27.2,Koeln
157,20180620,27.7,Leipzig
158,20180620,27.7,Muenchen
159,20180620,29.7,Stuttgart
160,20180621,25.4,Berlin
161,20180621,17.8,Dortmund
162,20180621,18.6,Duesseldorf
163,20180621,17.9,Essen
164,20180621,23.0,Frankfurt am Main
165,20180621,16.3,Hamburg
166,20180621,18.7,Koeln
167,20180621,25.8,Leipzig
168,20180621,26.8,Muenchen
169,20180621,27.1,Stuttgart
170,20180622,19.9,Berlin
171,20180622,15.5,Dortmund
172,20180622,16.3,Duesseldorf
173,20180622,16.0,Essen
174,20180622,18.2,Frankfurt am Main
175,20180622,17.9,Hamburg
176,20180622,16.9,Koeln
177,20180622,17.7,Leipzig
178,20180622,16.8,Muenchen
179,20180622,18.0,Stuttgart
180,20180623,17.4,Berlin
181,20180623,17.5,Dortmund
182,20180623,18.0,Duesseldorf
183,20180623,17.7,Essen
184,20180623,17.6,Frankfurt am Main
185,20180623,15.7,Hamburg
186,20180623,18.0,Koeln
187,20180623,14.8,Leipzig
188,20180623,17.5,Muenchen
189,20180623,19.6,Stuttgart
190,20180624,16.8,Berlin
191,20180624,17.5,Dortmund
192,20180624,19.3,Duesseldorf
193,20180624,18.2,Essen
194,20180624,19.8,Frankfurt am Main
195,20180624,17.7,Hamburg
196,20180624,19.6,Koeln
197,20180624,15.1,Leipzig
198,20180624,16.7,Muenchen
199,20180624,21.5,Stuttgart
200,20180625,23.0,Berlin
201,20180625,23.1,Dortmund
202,20180625,24.3,Duesseldorf
203,20180625,22.9,Essen
204,20180625,22.0,Frankfurt am Main
205,20180625,18.9,Hamburg
206,20180625,24.1,Koeln
207,20180625,21.4,Leipzig
208,20180625,19.9,Muenchen
209,20180625,22.3,Stuttgart
210,20180626,24.3,Berlin
211,20180626,21.1,Dortmund
212,20180626,23.3,Duesseldorf
213,20180626,22.5,Essen
214,20180626,22.8,Frankfurt am Main
215,20180626,23.3,Hamburg
216,20180626,23.8,Koeln
217,20180626,21.7,Leipzig
218,20180626,23.3,Muenchen
219,20180626,23.7,Stuttgart
220,20180627,24.2,Berlin
221,20180627,25.5,Dortmund
222,20180627,27.2,Duesseldorf
223,20180627,26.3,Essen
224,20180627,25.9,Frankfurt am Main
225,20180627,23.8,Hamburg
226,20180627,26.4,Koeln
227,20180627,23.1,Leipzig
228,20180627,20.9,Muenchen
229,20180627,24.8,Stuttgart
230,20180628,26.9,Berlin
231,20180628,25.8,Dortmund
232,20180628,26.9,Duesseldorf
233,20180628,26.1,Essen
234,20180628,27.0,Frankfurt am Main
235,20180628,24.6,Hamburg
236,20180628,26.4,Koeln
237,20180628,26.4,Leipzig
238,20180628,17.9,Muenchen
239,20180628,24.2,Stuttgart
240,20180629,27.5,Berlin
241,20180629,26.5,Dortmund
242,20180629,27.9,Duesseldorf
243,20180629,27.1,Essen
244,20180629,29.4,Frankfurt am Main
245,20180629,25.0,Hamburg
246,20180629,28.7,Koeln
247,20180629,27.5,Leipzig
248,20180629,23.9,Muenchen
249,20180629,27.8,Stuttgart
250,20180630,21.8,Berlin
251,20180630,26.3,Dortmund
252,20180630,29.0,Duesseldorf
253,20180630,27.8,Essen
254,20180630,28.5,Frankfurt am Main
255,20180630,23.8,Hamburg
256,20180630,28.7,Koeln
257,20180630,22.8,Leipzig
258,20180630,25.2,Muenchen
259,20180630,28.7,Stuttgart
260,20180702,22.5,Berlin
261,20180702,25.4,Dortmund
262,20180702,27.4,Duesseldorf
263,20180702,26.2,Essen
264,20180702,27.2,Frankfurt am Main
265,20180702,23.8,Hamburg
266,20180702,27.6,Koeln
267,20180702,23.3,Leipzig
268,20180702,24.4,Muenchen
269,20180702,26.9,Stuttgart
270,20180703,27.0,Berlin
271,20180703,28.0,Dortmund
272,20180703,29.5,Duesseldorf
273,20180703,28.4,Essen
274,20180703,29.6,Frankfurt am Main
275,20180703,23.9,Hamburg
276,20180703,29.7,Koeln
277,20180703,26.7,Leipzig
278,20180703,26.1,Muenchen
279,20180703,30.2,Stuttgart
